код ТТ;Название ТТ;Широта;Долгота;Продажи;Кластер;Нов продажи с корректировкой 25;Топ/аут;Потенциал продаж;Субканал (формат)
2,9879E+14;СПАР;55,16264066;61,28944561;20.01525499;ПродуктСО504;33,65207109;0;0.681321128;Конвиниенс
2,9879E+14;СПАР;55,1919805;61,3853025;85.53562822;ПродуктСО503;85,53562822;1;0;Конвиниенс
2,9879E+14;СПАР;55,1641452;61,2883039;92.9246525;ПродуктСО503;92,9246525;1;0;Конвиниенс
2,9879E+14;СПАР;55,1834;61,30171;59.78269699;ПродуктСО503;59,78269699;1;0;Конвиниенс
2,94521E+14;Ариант;55,1641773;61,295039;31.60434047;ПродуктСО403;31,60434047;1;0;Конвиниенс
2,94521E+14;Ариант;55,1602809;61,2968899;1.618588225;ПродуктСО404;1,780447048;0;0.1;Конвиниенс
2,94521E+14;Ариант;55,1483536;61,41241696;1.993894892;ПродуктСО403;3,540740332;0;0.775790864;Конвиниенс
2,9879E+14;Ариант;55,17574708;61,29380985;6.12691742;ПродуктСО403;6,12691742;1;0;Конвиниенс
2,9879E+14;Ариант;55,1956722;61,3354144;7.991676524;ПродуктСО403;7,991676524;1;0;Конвиниенс
2,9452E+14;Сельпо;55,1825788;61,2722528;92.7680456;ПродуктСО402;92,7680456;1;0;Конвиниенс
2,94521E+14;Ариант;55,13374923;61,43795361;3.305173136;ПродуктСО403;3,540740332;0;0.071272271;Конвиниенс
2,94521E+14;Ариант;55,13307953;61,42678833;5.936507608;ПродуктСО403;5,936507608;1;0;Конвиниенс
2,94521E+14;Ариант;55,11609957;61,46878598;3.218854848;ПродуктСО403;3,540740332;0;0.1;Конвиниенс
5340310;Семерочка ООО Новороссийский;55,10362311;61,48967687;144.5982475;ПродуктСО424;144,5982475;1;0;Конвиниенс
2,94521E+14;Ариант;55,198862;61,333337;2.598495278;ПродуктСО403;3,540740332;0;0.362611801;Конвиниенс
2,94521E+14;Ариант;55,19237759;61,28641505;2.271256914;ПродуктСО403;3,540740332;0;0.558934311;Конвиниенс
2,94521E+14;Ариант;55,1806456;61,43530715;246.2094734;ПродуктСО403;246,2094734;1;0;Конвиниенс
2,94521E+14;Ариант;55,17586717;61,45771667;9.393321595;ПродуктСО403;9,393321595;1;0;Конвиниенс
2,94521E+14;Ариант;55,1970122;61,4733181;23.14567692;ПродуктСО403;23,14567692;1;0;Конвиниенс
2,94521E+14;Ариант;55,0590067;61,3237835;89.92088693;ПродуктСО400;98,91297562;0;0.1;Конвиниенс
2,9879E+14;Ариант;55,07062;61,389484;24.72701427;ПродуктСО403;24,72701427;1;0;Конвиниенс
2,9879E+14;Ариант;55,14239;61,37608;2.998404584;ПродуктСО403;3,540740332;0;0.180874773;Конвиниенс
2,9452E+14;Усманова А. В;55,1415097;61,3920313;67.89515366;ПродуктСО423;116,5583515;0;0.716740374;Конвиниенс
2,9452E+14;Панова А. Ю;55,03882054;61,37030784;94.89543611;ПродуктСО433;120,0517368;0;0.265094948;Конвиниенс
2,94521E+14;Ариант;55,26373508;61,40294501;1.646872944;ПродуктСО403;2,709095044;0;0.644993351;Конвиниенс
2,9879E+14;Ариант;55,25829107;61,38208274;2.124560831;ПродуктСО403;3,540740332;0;0.666575172;Конвиниенс
N12426317;СПАР;55,173892;61,315563;29.03549862;ПродуктСО503;50,23471114;0;0.730113604;Конвиниенс
N12426320;СПАР;55,1936502;61,34148986;85.53562822;ПродуктСО503;85,53562822;1;0;Конвиниенс
N12426324;СПАР;55,1840695;61,29687469;35.53727048;ПродуктСО503;50,23471114;0;0.413578209;Конвиниенс
