код ТТ;Название ТТ;Широта;Долгота;Продажи;Кластер;Нов продажи с корректировкой 25;Топ/аут;Потенциал продаж;Субканал (формат);Ассортимент,добавить sku:;Цена, снизить sku:;Выкладка на ХП, добавить:;Выкладка на ТП, добавить:;Оборудование, добавить:;ДМП, добавить:
294520000611963;СПАР;55,18960703;61,2837895;1.92346608946688;ПродуктСО513;31,57360445;0;0,2;Конвиниенс;;10;;35;1;1
294520000707230;СПАР;55,1774024963379;61,3915176391602;1.92346608946688;ПродуктСО513;31,57360445;0;0,2;Конвиниенс;;10;25;35;;
N12426300;СПАР;55,1170959472656;61,4435081481934;2.56650270139781;ПродуктСО523;36,42283893;0;0,2;Конвиниенс;;;;;1;
294520000260509;СПАР;55,12820816;61,43329239;1.06796518900094;ПродуктСО503;16,13837853;0;0,2;Конвиниенс;;10;;35;;
298790001058995;СПАР;55,155767;61,417007;12.9083317808949;ПродуктСО513;42,55847014;0;0,2;Конвиниенс;;;21;35;;1
N12426316;СПАР;55,1518787;61,38345234;1.92346608946688;ПродуктСО513;31,57360445;0;0,2;Конвиниенс;;;16;35;;1
294520800838794;Ариант;55,1483535966234;61,4124169567726;1.99389489180905;ПродуктСО403;3,540740332;0;0,2;Конвиниенс;10;;;;;
298790000898661;Ариант;55,1757470781631;61,2938098451787;6.12691741970963;ПродуктСО403;6,12691742;1;0;Конвиниенс;;;;;;
298790001089627;Ариант;55,1956722;61,3354144;7.99167652393944;ПродуктСО403;7,991676524;1;0;Конвиниенс;;;;;;
298790001202420;Ариант;55,171463;61,369603;3.00788273039396;ПродуктСО401;19,79362236;0;0,2;Конвиниенс;10;;;;;
294520800834967;Лентешкина В.В. ИП;55,2046192;61,2833212;62.026926151432;ПродуктСО423;116,5583515;0;0,2;Конвиниенс;;;22;;;
294520800838311;Ариант;55,1337492311576;61,4379536102643;3.30517313566924;ПродуктСО403;3,540740332;0;0,071272271;Конвиниенс;9;;;;;
294520800838316;Ариант;55,1330795288086;61,4267883300781;5.93650760775432;ПродуктСО403;5,936507608;1;0;Конвиниенс;;;;;;
294520800838344;Ариант;55,11609957;61,46878598;3.21885484753743;ПродуктСО403;3,540740332;0;0,1;Конвиниенс;10;;;;;
5340310;Семерочка ООО Новороссийский;55,1036231126636;61,4896768704057;144.59824753223;ПродуктСО424;144,5982475;1;0;Конвиниенс;;;;;;
294520800838807;Ариант;55,198862;61,333337;2.5984952783576;ПродуктСО403;3,540740332;0;0,2;Конвиниенс;10;;;;;
294520800838845;Ариант;55,1923775927396;61,2864150479436;2.27125691406317;ПродуктСО403;3,540740332;0;0,2;Конвиниенс;10;;;;;
294520800838442;Ариант;55,1970122;61,4733181;23.1456769195849;ПродуктСО403;23,14567692;1;0;Конвиниенс;;;;;;
294520800844993;Ариант;55,0590067;61,3237835;89.9208869277947;ПродуктСО400;98,91297562;0;0,1;Конвиниенс;10;;;;;
298790001142600;Ариант;55,07062;61,389484;24.727014272394;ПродуктСО403;24,72701427;1;0;Конвиниенс;;;;;;
298790001144195;Ариант;55,14239;61,37608;2.99840458436914;ПродуктСО403;3,540740332;0;0,2;Конвиниенс;10;;;;;
294520000662345;Усманова А. В;55,1415097;61,3920313;67.895153663052;ПродуктСО423;116,5583515;0;0,2;Конвиниенс;;10;26;;;
294520000880642;Панова А. Ю;55,0388205400842;61,3703078404069;94.8954361138772;ПродуктСО433;120,0517368;0;0,2;Конвиниенс;5;;;;1;9
294520800838912;Ариант;55,26373507613;61,4029450077814;1.64687294413731;ПродуктСО403;2,709095044;0;0,2;Конвиниенс;10;;;;;
298790001141013;Ариант;55,2374846034007;61,3805555552244;1.93096747014555;ПродуктСО403;3,540740332;0;0,2;Конвиниенс;10;;;;;
298790001141248;Ариант;55,2582910698026;61,3820827379823;2.12456083145421;ПродуктСО403;3,540740332;0;0,2;Конвиниенс;10;;;;;
298790001182758;Магнит Навсари;55,10737;61,48005;188.13814294686;ПродуктСО533;188,1381429;1;0;Конвиниенс;;;;;;
294520000248027;Магнит Сугомак;55,1225935;61,4346994;116.555367627868;ПродуктСО513;116,5553676;1;0;Конвиниенс;;;;;;
298790001000315;Магнит Прононс;55,100713;61,4799693;135.225065261427;ПродуктСО423;135,2250653;1;0;Конвиниенс;;;;;;
682278;Магнит Майдстоун;55,1165464147925;61,4596439246088;110.052930523709;ПродуктСО423;116,5583515;0;0,059111747;Конвиниенс;;;22;;;
N*551754295;Магнит Бецольд;55,138459;61,4436324;124.839655221797;ПродуктСО523;124,8396552;1;0;Конвиниенс;;;;;;
6822213;Моя Цена Фейхоа;55,1318236486986;61,4278734941036;38.2479991494925;ПродуктСО513;67,89813751;0;0,2;Конвиниенс;10;;20;10;;
N*551752658;Магнит Блиндаж;55,11868824251;61,4242289587855;57.746475996926;ПродуктСО514;98,11505732;0;0,2;Конвиниенс;;;7;;;
N*551752849;Магнит Карнай;55,1134495111182;61,458534495905;63.4416910725811;ПродуктСО423;116,5583515;0;0,2;Конвиниенс;10;;29;3;;
298790001209438;Пятёрочка;55,161125;61,452293;59.4312133252105;ПродуктСО423;116,5583515;0;0,2;Конвиниенс;10;;29;35;;
294520000608289;Магнит Южноуральский;55,1791114807129;61,4656829833984;230.761977355125;ПродуктСО423;230,7619774;1;0;Конвиниенс;;;;;;
1911017536;Магнит Хохрякова;55,1819305419922;61,4860458374023;137.023424291248;ПродуктСО423;137,0234243;1;0;Конвиниенс;;;;;;
1911117480;Магнит Мамина;55,1733703613281;61,4823341369629;142.996054856971;ПродуктСО423;142,9960549;1;0;Конвиниенс;;;;;;
298790000838528;Магнит Губерния;55,1733514;61,551452;225.312210625564;ПродуктСО433;225,3122106;1;0;Конвиниенс;;;;;;
298790000844425;Магнит Церемония;55,1758041834665;61,4560047537088;71.3144181465197;ПродуктСО423;116,5583515;0;0,2;Конвиниенс;2;;5;;;
298790000933424;Магнит Ланской;55,1941967497872;61,4809367536525;164.686516304565;ПродуктСО543;164,6865163;1;0;Конвиниенс;;;;;;
298790000953329;Магнит Деляна;55,1836907;61,4575595;52.9419183872958;ПродуктСО423;87,90942383;0;0,2;Конвиниенс;;;18;24;;
298790001182750;Магнит Флиппин;55,18836;61,46187;244.685585178939;ПродуктСО422;244,6855852;1;0;Конвиниенс;;;;;;
298790001182751;Магнит Шлифовщик;55,18597;61,46877;179.971182804378;ПродуктСО522;179,9711828;1;0;Конвиниенс;;;;;;
298790001182754;Магнит Подтопление;55,166516;61,466981;62.4389614819748;ПродуктСО423;116,5583515;0;0,2;Конвиниенс;;;14;29;;
N*551751348;Магнит Литье;55,1675017;61,5234369;125.185469648195;ПродуктСО424;125,1854696;1;0;Конвиниенс;;;;;;
N*551754219;Магнит Тапкана;55,1609915140729;61,458930452619;103.918035378983;ПродуктСО533;132,4588263;0;0,2;Конвиниенс;;;12;1;;
294520000163144;Магнит Салют;55,1684837341309;61,4702529907227;49.3694999366457;ПродуктСО423;84,33700538;0;0,2;Конвиниенс;;10;29;23;;
298790000993665;Магнит Мураново;55,1611593700179;61,439611427486;71.6063920508106;ПродуктСО423;116,5583515;0;0,2;Конвиниенс;4;;11;;;2
298790001321455;Магнит Мотбодары;55,172085;61,527671;93.2597992664554;ПродуктСО424;108,1263075;0;0,2;Конвиниенс;10;;12;;;
N*55175230;Магнит Тулон;55,17869484;61,4610227;40.8084145085353;ПродуктСО513;70,45855286;0;0,2;Конвиниенс;10;;20;35;;
N*551753002;Магнит Идалия;55,1709585;61,5366813;109.137942585309;ПродуктСО433;120,0517368;0;0,1;Конвиниенс;;;1;;;1
298790001091171;Пятёрочка;55,170429;61,311186;67.9967021544691;ПродуктСО413;82,35002502;0;0,2;Конвиниенс;10;;27;35;;
298790001105762;Пятёрочка;55,1780242919922;61,3090934753418;81.238723805472;ПродуктСО413;82,35002502;0;0,013679452;Конвиниенс;2;;24;10;;
298790001120911;Пятёрочка;55,1792084;61,3095555;80.6727607613278;ПродуктСО423;116,5583515;0;0,2;Конвиниенс;10;;29;9;;9
